Bank,Specialisation,Country,Year,Loans,Assets,Exposure_app,Exposure_pepp,GovSec,GovSec_over_A,Loans_G,Loans_G_H,L_over_A,L_over_A_G,L_over_A_G_H,ROA,Deposits_over_A,Equity_over_A,treat_50,treat_75,treat_50_pepp,treat_75_pepp,app_dummy,pepp_dummy
AAREAL BANK AG,Real estate & mortgage finance institution,DE,2012,24319600,43202000,17.39095097,14.04011756,7583900,17.55451137,-4.179193467,-2.766457074,56.29276422,-5.060083303,-5.653773025,0.011573538,46.12957733,5.346743206,1,1,1,1,0,0
AAREAL BANK AG,Real estate & mortgage finance institution,DE,2013,25495800,41995300,17.39095097,14.04011756,7575300,18.03844716,4.723112312,3.1731301,60.71107957,4.418315349,5.099136561,0.118822821,46.56830645,5.619200244,1,1,1,1,0,0
AAREAL BANK AG,Real estate & mortgage finance institution,DE,2014,27115300,43063200,17.39095097,14.04011756,7489100,17.39095097,6.15844115,4.146880749,62.9662914,2.255211831,2.446153026,0.178342529,46.37254082,4.787614483,1,1,1,1,0,0
AAREAL BANK AG,Real estate & mortgage finance institution,DE,2015,28294000,43243100,17.39095097,14.04011756,7000300,16.18824737,4.255162382,2.856602758,65.43009174,2.463800333,2.575006164,0.229632011,45.20466849,4.831291004,1,1,1,1,1,0
AAREAL BANK AG,Real estate & mortgage finance institution,DE,2016,25996500,40287500,17.39095097,14.04011756,6223500,15.44771952,-8.468785446,-5.563998087,64.52745889,-0.902632848,-0.92394057,0.302078809,48.9680422,5.242569035,1,1,1,1,1,0
AAREAL BANK AG,Real estate & mortgage finance institution,DE,2017,26591200,39623700,17.39095097,14.04011756,6768900,17.08295793,2.261842041,1.5135358,67.10933103,2.581872142,2.632357484,0.371242463,47.51752108,5.399546231,1,1,1,1,1,0
AAREAL BANK AG,Real estate & mortgage finance institution,DE,2018,27223100,38621500,17.39095097,14.04011756,6162900,15.95717411,2.34855436,1.571783025,70.48690496,3.377573931,3.299933636,0.325466385,47.25036573,4.985306112,1,1,1,1,1,0
AAREAL BANK AG,Real estate & mortgage finance institution,DE,2019,26519200,38890700,17.39095097,14.04011756,5460300,14.04011756,-2.619687864,-1.738767424,68.18905291,-2.297852052,-2.19718933,0.307785666,44.79708516,4.935370153,1,1,1,1,0,0
AAREAL BANK AG,Real estate & mortgage finance institution,DE,2020,27520600,44228500,17.39095097,14.04011756,5436700,12.29230021,3.70658162,2.486128179,62.2236793,-5.965373608,-6.00737159,0.203036504,40.39522028,4.542772194,1,1,1,1,0,1
ABH FINANCIAL LIMITED,Bank holding company,CY,2012,22174474.04,34812794.94,3.004636643,8.406484378,956495.41083973402,2.747539842,32.74839478,22.87680548,63.69633371,-2.233843238,-2.284599177,1.80484194,58.43856135,9.039449621,0,0,1,1,0,0
ABH FINANCIAL LIMITED,Bank holding company,CY,2013,22194910.29,35274455.25,3.004636643,8.406484378,791820.77270545403,2.244742739,0.092118699,0.061421892,62.92063231,-0.7757014,-0.815183596,1.850062697,54.93658396,9.904002302,0,0,1,1,0,0
ABH FINANCIAL LIMITED,Bank holding company,CY,2014,20885419.23,35883352.69,3.004636643,8.406484378,1078164.36361751,3.004636643,-6.081172531,-4.012213704,58.20364504,-4.716987266,-5.125908969,0.075747142,46.04278566,9.860900702,0,0,1,1,0,0
