NUTS2,Country,Year,Exposure,NUTS2_GDP,NUTS2_GDP_G,NUTS2_POP,NUTS2_UNE,NUTS2_UNE_G,NUTS2_GFCF,NUTS2_GFCF_G,NUTS2_COMP,NUTS2_COMP_G,NUTS2_GPC,treat_50,treat_75,app_dummy
AT11,AT,2012,3.315626671,7365.43,4.909175348,285782,4.6,0.8,1943,12.42371693,3434,4.314219527,25700,0,0,0
AT11,AT,2013,3.315626671,7539.32,2.333455982,286691,4.3,-0.3,1838,-5.555514646,3562,3.659642239,26300,0,0,0
AT11,AT,2014,3.315626671,7737.13,2.589882553,287416,4.8,0.5,1894,3.001297083,3707,3.99007393,26900,0,0,0
AT11,AT,2015,3.315626671,8040.55,3.846667101,288356,5.2,0.4,1897,0.158269619,3793,2.293433854,27800,0,0,1
AT11,AT,2016,3.315626671,8351.77,3.797600364,291011,5.7,0.5,1894,-0.158269619,3917,3.216879198,28600,0,0,1
AT11,AT,2017,3.315626671,8717.79,4.289227299,291942,5.2,-0.5,2192,14.61233743,4084,4.175084562,29800,0,0,1
AT11,AT,2018,3.315626671,8964.81,2.794114787,292675,4.2,-1,2196,0.182315456,4299,5.130553721,30600,0,0,1
AT12,AT,2012,3.9004366,49802.6,2.627001873,1614455,4.6,0.1,11740,1.061835632,23073,3.915657097,30800,0,0,0
AT12,AT,2013,3.9004366,50470.13,1.331448463,1618592,5,0.4,12726,8.064533041,23716,2.74868231,31100,0,0,0
AT12,AT,2014,3.9004366,52049.38,3.081120723,1625485,5.1,0.1,12350,-2.999108174,24402,2.851517031,31900,0,0,0
AT12,AT,2015,3.9004366,53884.36,3.464738547,1636778,5.2,0.1,12888,4.26405828,25083,2.752522968,32800,0,0,1
AT12,AT,2016,3.9004366,55570.82,3.081797451,1653691,5.2,0,12744,-1.123607327,26045,3.763548536,33500,0,0,1
AT12,AT,2017,3.9004366,58207.93,4.63633564,1665753,4.8,-0.4,13559,6.198996087,26989,3.560356439,34900,0,0,1
